year,duration,NAR,block,treat,FDis
2018,1,5,1,1,0.86
2018,1,3,1,3,1.49
2018,1,6,1,3,1.26
2018,1,2,1,2,1.29
2018,1,0,1,1,1.05
2018,1,6,1,1,1.19
2018,1,7,1,1,0.81
2018,1,4,1,2,1.62
2018,1,5,1,2,1.38
2018,1,5,1,3,1.57
2018,1,2,1,1,1.71
2018,1,7,1,3,1.56
2018,1,2,1,3,1.14
2018,1,4,1,3,1.08
2018,1,6,1,2,0.85
2018,1,0,1,2,1.45
2018,1,3,1,2,1.44
2018,1,7,1,2,0.92
2018,1,8,1,3,1.5
2018,1,4,1,1,1.87
2018,1,3,1,1,1.45
2018,1,7,2,1,1.73
2018,1,2,2,2,1.83
2018,1,3,2,1,1.69
2018,1,5,2,3,1.72
2018,1,8,2,3,1.17
2018,1,0,2,1,1.42
2018,1,5,2,1,1.07
2018,1,4,2,3,2.13
2018,1,7,2,2,1.78
2018,1,5,2,2,0.5
2018,1,6,2,1,1
2018,1,4,2,2,0.9
2018,1,3,2,2,1.58
2018,1,7,2,3,0.49
2018,1,3,2,3,1.58
2018,1,6,2,2,0.61
2018,1,0,2,2,0.72
2018,1,4,2,1,0.97
2018,1,2,2,1,1.35
2018,1,2,2,3,1.76
2018,1,6,2,3,2.5
2018,1,7,3,2,1
2018,1,5,3,2,0.94
2018,1,5,3,3,0.92
2018,1,2,3,1,1.14
2018,1,4,3,3,0.84
2018,1,0,3,1,1.49
2018,1,7,3,1,0.95
2018,1,6,3,2,0.98
2018,1,0,3,2,1.27
2018,1,3,3,1,1.4
2018,1,8,3,3,1.62
2018,1,2,3,2,1.45
2018,1,5,3,1,1.85
2018,1,3,3,3,1.14
2018,1,4,3,1,1.28
2018,1,3,3,2,1.51
2018,1,6,3,1,0.99
2018,1,4,3,2,2.13
2018,1,7,3,3,0.41
2018,1,2,3,3,1.83
2018,1,6,3,3,1.09
2018,1,0,4,2,1.71
2018,1,3,4,1,1.45
2018,1,6,4,2,0.41
2018,1,6,4,3,1.07
2018,1,0,4,1,2.99
2018,1,3,4,3,2.07
2018,1,5,4,3,1.8
2018,1,4,4,2,1.48
2018,1,8,4,3,1.48
2018,1,6,4,1,1.19
2018,1,5,4,1,1.53
2018,1,7,4,2,2.24
2018,1,4,4,1,2.2
2018,1,3,4,2,1.87
2018,1,4,4,3,1.24
2018,1,2,4,3,1.64
2018,1,7,4,3,2.27
2018,1,5,4,2,2.24
2018,1,2,4,1,2.08
2018,1,2,4,2,2.05
2018,1,7,4,1,1.67
2018,1,5,5,1,1.44
